date, podspecs, versions, committer count
2011-09-05, 7, 9, 1
2011-09-12, 7, 9, 1
2011-09-19, 11, 13, 5
2011-09-26, 17, 19, 10
2011-10-03, 25, 28, 10
2011-10-10, 26, 29, 10
2011-10-17, 26, 33, 10
2011-10-24, 27, 35, 11
2011-10-31, 27, 36, 12
2011-11-07, 28, 40, 12
2011-11-14, 34, 46, 14
2011-11-21, 46, 59, 19
2011-11-28, 50, 66, 24
2011-12-05, 50, 67, 24
2011-12-12, 52, 69, 26
2011-12-19, 57, 78, 31
2011-12-26, 58, 85, 32
2012-01-02, 61, 89, 33
2012-01-09, 65, 95, 36
2012-01-16, 66, 106, 37
2012-01-23, 66, 108, 37
2012-01-30, 69, 120, 39
2012-02-06, 76, 132, 42
2012-02-13, 84, 142, 46
2012-02-20, 85, 144, 48
2012-02-27, 102, 163, 50
2012-03-05, 115, 181, 60
2012-03-12, 120, 192, 67
2012-03-19, 128, 206, 72
2012-03-26, 132, 216, 76
2012-04-02, 141, 236, 86
2012-04-09, 161, 261, 95
2012-04-16, 165, 267, 97
2012-04-23, 199, 313, 108
2012-04-30, 213, 336, 112
2012-05-07, 227, 356, 121
2012-05-14, 239, 379, 132
2012-05-21, 252, 408, 139
2012-05-28, 263, 427, 144
2012-06-04, 274, 455, 145
2012-06-11, 283, 467, 150
2012-06-18, 292, 486, 155
2012-06-25, 298, 496, 156
2012-07-02, 305, 507, 157
2012-07-09, 338, 548, 176
2012-07-16, 348, 570, 185
2012-07-23, 361, 593, 195
2012-07-30, 373, 619, 205
2012-08-06, 390, 671, 215
2012-08-13, 412, 709, 225
2012-08-20, 424, 737, 230
2012-08-27, 454, 789, 241
2012-09-03, 475, 835, 260
2012-09-10, 470, 825, 255
2012-09-17, 517, 912, 280
2012-09-24, 525, 956, 287
2012-10-01, 546, 1002, 299
2012-10-08, 568, 1046, 309
2012-10-15, 589, 1092, 318
2012-10-22, 608, 1143, 326
2012-10-29, 633, 1186, 339
2012-11-05, 651, 1236, 353
2012-11-12, 665, 1264, 362
2012-11-19, 690, 1318, 378
2012-11-26, 713, 1377, 396
2012-12-03, 731, 1429, 411
2012-12-10, 747, 1475, 425
2012-12-17, 788, 1561, 457
2012-12-24, 820, 1625, 472
2012-12-31, 842, 1678, 487
2013-01-07, 869, 1750, 500
2013-01-14, 910, 1841, 528
2013-01-21, 946, 1925, 552
2013-01-28, 992, 2031, 581
2013-02-04, 667, 1276, 363
2013-02-11, 1073, 2260, 637
2013-02-18, 308, 511, 160
2013-02-25, 1129, 2417, 680
2013-03-04, 1168, 2549, 705
2013-03-11, 1202, 2643, 720
2013-03-18, 1231, 2720, 740
2013-03-25, 1266, 2823, 768
2013-04-01, 1302, 2931, 791
2013-04-08, 1337, 3041, 814
2013-04-15, 1382, 3161, 849
2013-04-22, 1418, 3294, 879
2013-04-29, 1464, 3447, 907
2013-05-06, 1500, 3561, 932
2013-05-13, 1540, 3681, 954
2013-05-20, 1597, 3823, 990
2013-05-27, 1647, 3967, 1022
2013-06-03, 1610, 3865, 998
2013-06-10, 1612, 3865, 998
2013-06-17, 1537, 3672, 951
2013-06-24, 1788, 4428, 1118
2013-07-01, 1821, 4558, 1142
2013-07-08, 1862, 4664, 1165
2013-07-15, 1920, 4807, 1195
2013-07-22, 1984, 4964, 1244
2013-07-29, 2035, 5089, 1280
2013-08-05, 2087, 5258, 1302
2013-08-12, 2156, 5451, 1340
2013-08-19, 2203, 5596, 1375
2013-08-26, 2252, 5757, 1406
2013-09-02, 1995, 5017, 1257
2013-09-09, 2339, 6073, 1472
2013-09-16, 2386, 6237, 1506
2013-09-23, 2428, 6401, 1531
2013-09-30, 2458, 6529, 1554
2013-10-07, 2507, 6709, 1591
2013-10-14, 2560, 6919, 1631
2013-10-21, 2624, 7117, 1680
2013-10-28, 2702, 7347, 1715
2013-11-04, 2766, 7546, 1759
2013-11-11, 2834, 7770, 1804
2013-11-18, 2893, 7975, 1845
2013-11-25, 2952, 8169, 1885
2013-12-02, 2999, 8323, 1919
2013-12-09, 3068, 8542, 1969
2013-12-16, 3131, 8738, 2018
2013-12-23, 3205, 8967, 2062
2013-12-30, 3253, 9103, 2088
2014-01-06, 3305, 9268, 2117
2014-01-13, 3362, 9491, 2164
2014-01-20, 3427, 9737, 2216
2014-01-27, 3502, 10011, 2275
2014-02-03, 2487, 6653, 1574
2014-02-10, 3649, 10483, 2371
2014-02-17, 3735, 10744, 2423
2014-02-24, 3595, 10322, 2341
2014-03-03, 3902, 11314, 2523
2014-03-10, 3981, 11570, 2574
2014-03-17, 4000, 11651, 2589
2014-03-24, 4160, 12173, 2689
2014-03-31, 4270, 12486, 2740
2014-04-07, 4357, 12739, 2785
2014-04-14, 4433, 13035, 2833
2014-04-21, 4504, 13277, 2870
2014-04-28, 4629, 13630, 2938
2014-05-05, 4703, 13913, 2978
2014-05-12, 4785, 14257, 3022
2014-05-19, 4888, 14589, 3077
2014-05-26, 4950, 14803, 3133
2014-06-02, 5082, 15217, 3217
2014-06-09, 5155, 15507, 3269
2014-06-16, 5240, 15838, 3342
2014-06-23, 5317, 16149, 3388
2014-06-30, 5388, 16447, 3424
2014-07-07, 5474, 16771, 3478
2014-07-14, 5554, 17152, 3518
2014-07-21, 5638, 17553, 3577
2014-07-28, 5712, 17910, 3629
2014-08-04, 5881, 18626, 3718
2014-08-11, 5881, 18626, 3718
2014-08-18, 5978, 19107, 3766
2014-08-25, 6056, 19524, 3810
